piCID,Chromosome,Start,End,Strand,ClusterName,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57
piC13,1,134754665,134955950,-,pi-Ppp1r12b,1146,835,1842,825,1533,1253,1421,983,257,279,263,250,309,283,231,245,259,220
piC14,1,156558073,156649619,+,pi-Abl2,8267,4985,13600,5903,17863,15829,18942,10554,1521,1421,1507,2207,2779,2313,1980,1816,2644,2300
piC15,1,160906384,160974973,+,pi-Rc3h1,794,514,1231,769,834,785,1026,539,2579,2168,2658,3885,4772,4274,3902,3230,2992,2498
piC16,1,161002922,161034827,-,pi-Zbtb37,2626,1937,4122,2257,5221,4531,5335,3211,1578,1412,1542,1637,2043,1715,2484,2297,579,523
piC17,1,170193431,170215410,-,pi-Uhmk1,2295,1734,4275,1768,3889,3397,4332,2349,1017,942,1017,1347,1599,1493,1368,1299,881,719
piC18,2,28822302,28840341,-,pi-Gtf3c4,1580,1073,2659,1326,3240,3074,3713,1949,919,879,906,1215,1429,1245,1205,1119,1668,1403
piC19,2,37569877,37703370,-,pi-Strbp,1451,1275,2687,1462,2380,2364,3562,1220,4426,4219,4058,5127,6341,5488,4814,4435,4886,4199
piC20,2,92541142,92609144,+,2-qE1-35981,66799,68411,109945,115421,98634,111565,158520,56207,1095190,1034378,1058575,1018968,1286417,1117287,1324716,1218689,1270883,1158968
piC21,2,120692589,120715137,+,2-qE5-4,2303,1403,3210,1490,3688,2926,3621,2178,193,199,172,76,82,76,98,95,80,67
piC22,2,127691854,127703711,+,2-qF1-2536,3795,2529,4821,6150,4332,5121,6987,2860,73591,65639,70678,77934,98752,84506,72167,62101,57999,48543
piC23,2,151127448,151158594,+,2-qG3-1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC24,2,154436484,154539356,+,pi-Cbfa2t2,1728,1134,2767,1336,3137,2588,3077,1643,1293,1182,1237,1381,1768,1433,1292,1185,1131,895
piC25,2,156196658,156309951,+,pi-Phf20,1757,1035,2801,1394,375,297,295,201,42,39,22,25,22,25,19,22,29,23
piC26,3,20402672,20506199,-,3-qA2-617,654,370,926,1118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9964,8636
piC27,3,32334794,32365665,-,pi-Zmat3,433,291,674,563,821,627,770,454,3592,3082,3720,2814,3542,3187,3203,2863,3614,3115
piC28,3,34826631,34879283,+,3-qA3-2052,3191,2196,4977,5268,3888,4353,5786,2815,62150,54938,59937,63350,78339,69155,83520,74474,67987,60464
piC29,3,51224933,51251625,+,pi-Ccrn4l(pi-Noct),1616,1135,2900,1225,51,25,43,32,13,11,6,7,14,6,221,162,130,104
piC30,3,95181762,95217980,-,pi-Gabpb2,5837,3405,9110,4264,12848,11485,13217,7555,836,724,857,794,1002,810,1096,1055,855,727
piC31,3,124398083,124425991,-,pi-1700006A11Rik,3038,2593,4699,4781,3601,3817,5660,2494,40926,38713,39364,36638,46009,39621,62532,54758,46401,43338
piC32,4,45395925,45408922,-,pi-Mcart1,1175,767,2038,976,210,180,230,90,96,83,105,147,156,131,335,365,161,134
piC33,4,56802349,56809597,+,pi-BC026590,1598,1095,2591,1293,1946,1730,2168,1195,5466,5066,5288,4523,5664,4817,5911,4811,5853,5147
piC34,4,56867026,56947483,-,pi-D730040F13Rik,5668,3640,9422,4101,3936,3390,4199,2328,588,592,632,884,1043,829,502,376,766,570
piC35,4,57356531,57364266,-,4-qB3-3994,3939,2973,5915,6642,5480,5958,7579,4194,105306,94935,102545,95743,120980,106509,115721,101052,88905,78604
piC36,4,59805650,59904740,+,pi-Snx30,1793,978,2375,1320,3295,2801,3078,1810,119,86,89,103,124,85,93,91,90,88
piC37,4,62220598,62230936,-,4-qB3-639,1981,2394,3674,2918,2204,2627,3828,968,230659,217405,225127,144775,187464,160907,207407,185161,25853,22613
piC38,4,62231006,62239341,+,4-qB3-277,371,425,635,520,15877,17406,25225,9099,4029,4035,3978,20732,26870,22477,3146,2619,5555,4633
piC39,4,94280152,94331623,-,4-qC5-17839,20619,13128,31063,34603,12533,13094,16536,10707,424737,375643,406248,331759,418919,363321,431097,369321,326545,299262
piC40,4,108175242,108217922,-,pi-Zyg11a,3629,2446,6243,2692,8203,6781,7706,4732,238,176,227,131,200,137,186,235,211,181
piC41,4,108227755,108301090,-,pi-Zyg11b,2414,1549,3874,1943,4932,4311,5022,3078,734,709,785,959,1260,1016,1006,896,856,722
piC42,4,123833625,123841966,-,4-qD2.2-2182,3667,2330,5234,6220,1965,2054,2271,1705,67186,58509,66745,39901,49455,43229,80029,68225,62243,57650
piC43,4,123892083,123896600,-,4-qD2.2-349,540,342,812,849,298,266,346,261,8011,7085,7762,7076,9065,8088,10099,8088,10411,9104
piC44,4,132639088,132724761,+,pi-Eya3,1178,819,1758,970,1929,1662,2071,1198,158,157,197,116,136,100,119,127,135,127
piC45,4,135412308,135433791,-,pi-Rcan3,2587,1715,4208,1763,4747,3778,4423,2854,184,157,167,142,182,116,168,196,201,169
piC46,4,135626796,135630198,+,4-qD3-2082,5803,5609,9012,9383,6228,7030,10067,3789,93106,85920,90734,89156,112884,96844,95845,84680,86494,73749
piC47,4,136469764,136554782,+,pi-Luzp1,1929,1260,3176,1390,2467,2050,2489,1576,225,292,249,242,294,250,166,162,180,161
piC48,5,38200252,38220389,-,pi-Zbtb49,1611,1021,2397,1249,1384,1166,1342,862,226,259,244,236,285,201,248,241,254,242
piC49,5,67392150,67428120,-,pi-Bend4,3699,2215,6141,2604,7504,6744,7757,4427,312,301,310,197,258,168,219,238,260,221
piC50,5,101832960,102069932,-,pi-Wdfy3,1095,622,1391,1271,949,942,1217,769,26568,23083,26214,16860,21131,18270,26536,22172,16996,14319
piC51,5,113320455,113340095,-,5-qF-14508,29623,27614,42814,48349,42294,48698,69744,25927,504374,498171,490702,467627,591599,520535,591933,555278,509836,466368
piC52,5,113340138,113376874,+,5-qF-14224,26294,23618,37906,41821,39270,44367,62748,25690,567123,538569,553461,425505,544685,471713,570027,491488,549426,479958
piC53,5,113937100,113993758,-,pi-Ssh1,511,320,751,425,2217,1544,1868,1350,74,54,76,48,69,32,85,89,54,35
piC54,5,114828520,114853587,-,5-qF-4633,10174,8058,13716,17607,24015,27402,38315,16311,135899,128845,131501,139987,173915,155132,163155,150384,200435,188263
piC55,5,115142982,115158216,-,pi-Mlec,1969,1661,3437,1786,3235,2865,3494,1897,1761,1802,1718,2593,3273,2795,1919,1755,2051,1731
piC56,5,130144922,130155114,+,pi-Kctd7,554,457,915,708,545,561,796,292,6065,5207,5936,6340,7831,6790,7961,6745,7082,6144
piC57,5,135149165,135163872,+,pi-Tbl2,3453,2420,4749,4539,3020,3054,3718,1929,32469,28638,32193,29965,36604,32191,39847,34964,37052,34018
piC58,5,136919146,136937112,+,5-qG2-950,1152,861,1733,1598,1558,1439,1777,1119,15707,13832,15491,11531,14377,12685,16801,13907,11159,10037
piC59,5,142866946,142895212,-,pi-Fbxl18,2031,1368,3160,1574,6296,5130,5799,3833,347,327,330,265,334,252,317,299,324,289
piC60,5,143758379,143768596,+,5-qG2-2301,4856,4885,7796,7978,7272,8265,11543,4389,76985,70030,73643,60485,76147,66325,86738,77911,76746,69577
piC61,5,149790072,149831589,-,5-qG3-23659,37963,34153,57063,61214,57845,67595,98201,34068,709959,697391,679858,717715,898282,792502,772687,707073,703203,627177
piC62,6,81893818,81911839,-,6-qC3-6258,8549,6183,12325,13643,11750,13697,20773,6737,161129,155201,155473,146397,181315,160783,185547,168632,201960,180177
piC63,6,83362374,83455516,-,pi-Tet3,2047,1292,2996,1243,2956,2391,2711,1856,155,135,152,114,106,72,108,116,125,99
piC64,6,83575941,83590341,+,6-qC3-100,110,81,187,164,112,110,165,101,1920,1485,1782,1780,2213,1857,4520,4023,2317,2097
piC65,6,85111416,85126094,-,pi-Gm5878.1,6343,3814,9058,10491,4384,4532,5487,3763,95166,82584,91873,80698,98792,87998,112645,100910,115988,109064
piC66,6,85469578,85502886,-,pi-Fbxo41,1242,784,1687,932,4586,3104,3493,2358,103,102,79,91,87,77,85,121,119,107
piC67,6,85985215,86003606,-,6-qC3-2394.2,3119,2279,4389,5310,1854,1902,2225,1508,41766,34208,40342,51586,64067,55134,44810,39835,61658,55068
piC68,6,87962456,87994167,-,6-qD1-2831,6475,7931,10401,10383,8990,10454,15178,5088,80901,79222,78093,78055,98026,86573,79751,70903,93124,80058
piC69,6,88724470,88828357,+,pi-Mgll,396,288,579,415,900,741,816,519,2572,1977,2388,2701,3160,2646,2143,2002,2004,1698
piC70,6,92091402,92173057,+,pi-Nr2c2,2341,1759,4177,2744,5063,4584,6523,2675,8825,7891,8398,18106,21964,18942,19998,19231,9734,8894
piC71,6,116338022,116409533,+,pi-March08,2630,1682,3634,1714,3706,3137,3850,2320,685,745,651,277,374,292,636,585,723,553
piC72,6,120836212,120892841,+,pi-Bcl2l13,1086,925,1750,1002,1990,1749,2088,1299,1981,1955,1786,2036,2455,2147,1785,1605,2233,1794
piC73,6,127776076,127796372,-,6-qF3-8009,11985,11026,17501,18980,18746,21534,31290,11845,241692,237086,233313,208216,262474,229765,251383,227099,237157,208510
piC74,6,127796431,127841890,+,6-qF3-28913,45835,37652,66305,74808,50857,59604,85480,35677,915068,856148,878067,785092,985489,861418,1006227,905806,958079,861629
piC75,6,128169705,128200582,-,6-qF3-3040,6427,5779,11470,9041,8972,9268,13602,5255,95736,92185,91105,96023,120155,106278,31696,29195,116037,101532
piC76,6,128438800,128506907,+,6-qF3-1063,2516,2040,3951,3945,8278,8827,12022,4984,55909,51928,54957,32260,41113,36202,67379,58352,46418,40149
piC77,7,30121924,30140747,+,pi-Zfp382,64,25,85,34,62,54,104,21,109,128,107,138,170,132,142,120,155,139
piC78,7,52887607,52913867,+,7-qB5-6255,6079,4083,10872,9907,10705,11025,16245,7182,102061,92306,98871,NA,NA,NA,139122,120427,120795,108608
piC79,7,63886351,63938875,-,pi-Klf13,2252,1253,2609,1735,5613,4555,4748,3161,161,159,184,136,171,142,143,181,233,224
piC80,7,69874210,69909583,-,7-qD1-9417,11649,7766,16637,19624,8388,8873,11951,7204,226113,206806,218100,231860,290422,255356,285033,255008,204100,187489
piC81,7,69909764,69966359,+,7-qD1-16444,23422,19156,34815,39754,32597,38313,55275,21663,437283,419271,418190,385532,479490,421276,451543,420352,462895,419413
piC82,7,73097826,73105273,-,7-qD1-654,1047,782,1610,1806,915,970,1373,661,32398,30572,31699,21180,26399,23546,33478,30798,27414,25108
piC83,7,73105312,73146779,+,7-qD1-19431,26730,20307,40008,45471,32565,36643,51549,25260,538958,508093,520824,539649,673345,589656,582799,531633,587683,526166
piC84,7,73773917,73816469,-,7-qD2-24830,43608,41086,68503,74551,45918,54735,82098,29430,870057,861618,834980,810320,1027755,890459,987001,892875,942599,838247
piC85,7,73816595,73838894,+,7-qD2-11976,19575,17348,29476,33034,22025,25825,38285,14229,354892,338556,337996,296674,375793,324161,393629,347691,350267,306585
piC86,7,75769042,75782107,-,7-qD2-40,9188,6079,14875,6928,15321,12506,14136,9243,707,655,639,641,900,667,865,963,877,652
piC87,7,99920257,99980458,-,pi-Rnf169,1813,1420,2857,1439,2129,1883,2453,1389,1129,1062,1063,1283,1692,1488,1397,1436,1262,1135
piC88,7,125316893,125349772,-,7-qF3-3125,4455,3016,6630,7270,3435,3564,4444,2719,102870,89202,99960,94455,118886,102464,117828,99271,108842,96536
piC89,7,125349871,125364820,+,7-qF3-246,293,236,514,581,264,204,297,320,6899,6312,6617,5303,6551,6045,6814,4922,6814,6142
piC90,7,132712088,132852628,-,pi-Fam53b,1872,1318,2736,1503,3357,3032,3277,2207,2609,2314,2490,2844,3539,3130,2400,2232,2806,2402
piC91,8,25154553,25203880,-,pi-Tacc1,505,414,960,599,1330,1157,1550,658,3596,3439,3681,3282,3972,3560,3882,3172,4100,3571
piC92,8,27293077,27296288,-,8-qA2-343,1124,994,1727,2299,1973,2502,3344,1643,13,16,11,965,1205,1004,29203,27185,24146,22942
piC93,8,37088935,37094955,-,8-qA4-332,1181,563,1432,2037,380,353,502,252,1702,1329,1553,11377,13726,11914,13953,13021,13347,12035
piC94,8,37103898,37105508,-,8-qA4-155,296,160,382,556,0,0,0,0,NA,NA,NA,253,312,306,NA,NA,10899,9683
piC95,8,66511738,66519199,+,pi-Tktl2,701,868,1545,1013,836,924,1608,392,1919,1925,1780,2643,3453,2908,2129,1728,1713,1396
piC96,8,69761326,69774895,-,pi-Zfp866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC97,8,92189460,92194416,+,8-qC5-8200,12633,12921,19567,21509,12342,14114,18978,7878,205254,185637,196676,181790,226106,198518,207309,188283,181001,156433
piC98,8,93409942,93427377,-,8-qC5-2209,4247,3671,6916,6499,NA,NA,NA,NA,63290,59078,59777,62994,78897,69035,87663,76479,65364,58032
piC99,8,104348211,104395808,-,pi-Cmtm4,2422,1496,3956,1919,6208,5397,6284,3430,472,472,486,728,846,726,394,414,501,443
piC100,8,109726650,109737749,-,pi-Atxn1l,2505,1529,3885,1819,5599,4454,5268,3093,770,714,839,926,1155,1038,1268,1141,963,868
piC101,8,110117666,110132456,+,8-qE1-3748,4893,3154,7088,8274,7844,8724,11788,6384,170824,155172,170798,132289,165559,146778,161288,138335,162398,151031
piC102,8,111003187,111031723,-,pi-Ddx19b,2969,3236,5592,3474,5604,4942,6881,2963,11634,10855,10807,12787,15709,13437,11318,10681,5571,4742
piC103,8,117158265,117215995,+,pi-Gan,5310,3879,8823,5082,16513,13687,16843,9316,13539,12728,13298,13428,16755,15223,16838,15247,18346,17190
piC104,8,122883089,123042254,-,pi-Ankrd11,1564,1189,2305,1092,4330,3431,3888,2739,190,176,163,147,159,140,161,139,140,130
piC105,8,124890300,124897776,-,pi-Exoc8,635,473,1112,591,831,734,981,428,1181,1056,1100,716,880,770,1039,905,821,629
piC106,9,3181784,3199792,-,9-qA1-178,443,293,611,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4929,4487
piC107,9,27299245,27357729,+,pi-Igsf9b,2595,1600,3918,1785,3070,2867,3178,1894,373,338,405,283,438,328,212,246,554,426
piC108,9,44142979,44233996,-,pi-Cbl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC109,9,44292439,44305634,-,pi-Hinfp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC110,9,51765299,51853665,+,pi-Arhgap20,894,551,1241,1363,808,709,861,638,12755,10691,12555,10185,12863,11275,15296,11963,12558,10581
piC111,9,54207174,54249823,-,9-qA5.3-24188,35976,22560,50826,60816,25749,28208,35852,22123,637263,582632,610596,620106,765527,677696,770970,702633,648443,605504
piC112,9,54249946,54277638,+,9-qA5.3-1495,2475,1734,3624,4430,1313,1539,2109,1287,49709,46023,48076,51233,63164,55347,60123,53840,53189,48676
piC113,9,61913286,61914541,-,pi-Rplp1,1475,1383,2511,1030,2006,1674,1922,1742,49,45,41,50,57,41,21,27,50,28
piC114,9,67691252,67733786,-,9-qC-31469,62659,63616,104111,107647,41719,48422,69988,22921,428961,410576,413411,422231,530959,463641,491045,440541,1144830,1027390
piC115,9,67733945,67760929,+,9-qC-10667,17518,15061,28771,30303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353580,313382
piC116,9,106688082,106789172,-,pi-Rad54l2,1734,1286,2664,1264,2927,2584,2903,1724,185,175,181,290,407,303,288,243,259,234
piC117,9,107995743,108048780,+,pi-Ip6k1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC118,9,114507222,114564369,-,pi-Trim71,2167,1386,3358,1862,6506,5155,5763,3482,210,202,207,121,137,129,128,135,182,155
piC119,9,119402286,119441914,+,pi-Acvr2b,2974,1808,4456,2298,5996,5218,5897,3565,197,201,215,171,232,182,145,189,242,161
piC120,9,119444965,119465504,+,pi-Exog,693,370,945,513,1137,916,1057,597,114,98,127,106,130,116,103,103,129,112
piC121,9,122780673,122805469,-,9-qF4-150,365,300,527,499,185,243,266,108,5094,4839,4850,5340,6660,5973,5202,4996,4588,3991
piC122,10,18796806,18831930,-,10-qA3-2592,3975,2289,5535,6684,2670,2759,3666,1894,70127,60281,68495,70158,88087,78297,97244,85090,65486,58229
piC123,10,20310506,20312760,-,10-qA3-143,234,137,359,364,130,142,210,70,3791,2866,3575,2445,2974,2452,2346,2103,2538,2229
piC124,10,42181846,42276755,-,pi-Foxo3,2269,1227,3321,1507,5193,4327,5153,2697,228,199,221,158,159,150,173,162,188,138
piC125,10,61428492,61452798,-,pi-Eif4ebp2,3110,2514,5173,2755,5284,4687,5662,3597,7631,6969,7292,6889,8526,7276,6854,6148,7720,6527
piC126,10,62651693,62706331,+,10-qB4-6488,12057,11178,17951,19666,11402,12735,18324,8141,194068,189894,188943,221257,278104,245616,262231,238493,224893,200541
piC127,10,66679900,66698136,-,10-qB5.1-5404,9596,8394,14519,17189,7676,9179,13154,5495,217318,207516,209869,192356,246789,214181,248212,215330,247883,223327
piC128,10,66698293,66708692,+,10-qB5.1-221,471,410,677,797,490,626,885,273,6073,6243,5862,7948,10159,8830,10105,9404,6279,5649
piC129,10,71344913,71385881,+,pi-Ipmk,268,190,483,311,266,231,224,179,3919,3629,4087,3049,3972,3459,4386,3654,3202,2872
piC130,10,75837524,75864170,+,10-qC1-12816,26151,27980,42085,45471,30360,34730,50438,17535,400088,390539,387805,372777,465302,411254,471054,421012,415401,375381
piC131,10,76032656,76042969,+,pi-Zfp280b,774,460,1105,606,469,400,464,261,2272,1999,2037,2798,3123,2890,2028,1949,1715,1347
piC132,10,83360241,83488082,+,pi-D10Wsu102e,9154,5591,15317,7727,45479,38940,42477,26151,771,762,640,1071,1386,1005,919,950,1178,969
piC133,10,84488294,84504837,+,10-qC1-117,1154,1744,2471,1843,117,179,241,68,4733,5193,4629,5565,7403,6417,3279,3045,3577,2765
piC134,10,85748562,85781750,+,10-qC1-2617,5537,5009,7850,8721,0,0,0,0,0,0,0,37247,47107,41227,41588,38658,91066,82636
piC135,10,86548679,86591509,-,10-qC1-1527,7,3,5,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,61,45
piC136,10,86617012,86670850,+,10-qC1-875,31,15,53,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,371
piC137,10,94673713,94688442,-,10-qC2-545,1571,1123,2562,2397,1160,1097,1592,716,18462,14865,17597,17971,22135,19442,20275,18670,17114,14907
piC138,10,126978698,126999960,+,pi-Ctdsp2,1238,975,2023,1066,8129,5849,6450,4692,300,309,279,580,769,605,186,151,263,181
piC139,10,127667200,127701048,+,pi-Tmem194,7486,4976,11324,11708,7622,7768,10481,5047,127147,114536,128701,109403,139331,126065,170062,145418,147761,138929
piC140,11,5528890,5542201,-,pi-Ccdc117,341,308,689,373,525,489,623,326,5757,4941,5492,3473,4246,3775,3170,2783,3532,3109
piC141,11,50939596,50943725,-,11-qB1.3-590,561,472,847,1021,113,106,177,110,12788,10591,12260,11124,13822,12211,13637,12326,13183,11479
piC142,11,60777538,60788285,+,pi-Smcr8,1794,1215,2730,1504,3741,2982,3616,2126,724,755,697,1204,1487,1286,748,698,876,698
piC143,11,69395817,69396674,+,pi-Lsmd1,1142,720,1784,754,1222,1174,1359,1128,107,89,96,107,139,135,123,110,105,99
piC144,11,75531717,75577567,+,pi-Slc43a2,1080,741,1686,1006,1966,1666,1914,1071,2842,2450,2721,2534,3084,2705,2744,2234,2614,2319
piC145,11,79591212,79698022,+,pi-Rab11fip4,6486,4034,9458,4617,13545,11438,12977,8167,872,783,883,714,1006,857,773,741,1431,1226
piC146,11,95712632,95772350,+,pi-Zfp652,1736,1201,2996,1541,3763,3171,4083,2091,7671,6776,7493,9026,11506,9996,9134,8082,9525,8243
piC147,11,95957166,96007888,-,pi-Igf2bp1,1278,959,2118,985,2324,1966,2227,1361,109,83,123,97,105,78,94,112,117,99
piC148,11,97362328,97398541,+,pi-Socs7,2947,2097,4782,2349,5422,4825,5873,2809,878,1006,818,1477,1841,1515,843,714,1054,890
piC149,11,97663217,97685443,+,pi-Mllt6,1774,1317,2873,1289,8634,7311,8112,5273,139,128,111,76,115,78,133,164,124,117
piC150,11,98863633,98905578,+,pi-Wipf2,2180,1623,3453,1645,5658,4672,5083,3718,258,258,275,243,255,235,269,246,278,223
piC151,11,100457125,100472782,-,pi-Klhl11,1760,1011,2565,1459,2063,1836,2403,1177,5081,4366,5168,6121,7524,6767,5959,5036,7650,6760
piC152,11,103424327,103453696,+,11-qE1-9443,18926,18639,27714,31068,26410,30989,41850,17049,315687,304211,303181,282121,356525,314455,328171,305896,316066,284456
piC153,11,106036879,106059322,+,pi-Dcaf7,2200,1843,3813,1883,4345,3922,4861,2769,1594,1505,1643,1889,2190,1922,2093,1959,2406,2095
piC154,11,107994012,107999715,+,11-qE1-3997,2100,1576,3015,3474,2698,3153,4171,1826,46919,43506,45167,36548,44902,39838,45045,41424,39765,36250
piC155,11,108417576,108425425,-,11-qE1-252,442,241,607,578,239,278,382,191,7666,6823,7522,7426,9410,8110,9913,8505,7477,6684
piC156,11,120625128,120633954,-,pi-Mafg,1786,1061,2509,1236,8455,6950,7645,5135,132,116,114,101,110,92,114,154,125,92
piC157,12,3806980,3914443,+,pi-Dnmt3a,1717,1296,2783,1428,3736,3224,3734,2182,169,166,165,447,604,481,239,219,360,278
piC158,12,81714960,81781170,-,pi-Map3k9,4348,2874,6818,3170,9046,7513,8667,5469,228,186,219,123,134,98,197,188,155,126
piC159,12,98378945,98420048,-,12-qE-23911,37448,26913,54899,60860,42386,47275,67535,30575,761436,714376,739537,700202,876132,770289,848079,757733,719227,654028
piC160,12,98420148,98455965,+,12-qE-7089,13730,13383,22154,22753,17891,20584,30290,10766,263133,247759,252440,232926,291566,254581,259475,236349,232830,203530
piC161,13,21503621,21506524,-,13-qA3.1-213,586,357,1013,888,447,454,616,315,16376,12452,14745,12727,15937,13120,17221,14031,12978,11110
piC162,13,23763668,23764414,+,pi-Hist1h1a,7091,4297,9709,3845,NA,NA,NA,NA,172,157,171,245,298,207,173,130,156,114
piC163,13,24905600,24935032,+,13-qA3.1-355,440,320,691,669,268,275,305,274,12242,10396,11992,8568,10849,9744,12961,9775,12502,11258
piC164,13,24987484,25020304,-,pi-Mrs2,351,244,623,420,496,470,604,295,2384,2149,2199,3613,4480,3793,112,97,1992,1693
piC165,13,49814722,49895692,+,13-qA5-156,19,11,26,7,80,70,59,39,NA,NA,NA,NA,NA,NA,NA,NA,12,19
piC166,13,50268025,50317360,+,13-qA5-208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC167,13,50501554,50595487,-,13-qA5-464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC168,13,50905640,50934148,-,13-qA5-703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC169,13,52096735,52124158,+,13-qA5-967,1565,1291,2266,2753,2094,2319,3218,1338,31058,27743,29885,30196,37473,32762,32452,29427,32950,29394
piC170,13,53393668,53454538,+,13-qB1-1517,5802,6412,10000,8799,8787,9616,14248,4090,58980,55563,56374,47798,59480,51560,54107,51918,76292,64805
piC171,13,55105322,55135057,+,pi-Zfp346,2366,1846,4044,1850,7026,5973,7193,4583,702,812,728,859,974,829,731,625,797,728
piC172,13,55212057,55318324,+,pi-Nsd1,2219,1436,3416,1462,2668,2364,2840,1532,242,265,275,244,273,248,196,176,229,212
piC173,14,19626160,19653410,-,14-qA3-3095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC174,14,24081994,24130091,+,14-qA3-19970,46901,55897,83010,79985,74782,88635,131126,38319,629209,638551,605676,663060,831927,720685,693078,653676,690466,599004
piC175,14,24337663,24369814,-,14-qA3-2286,4603,2814,6453,7660,NA,NA,NA,NA,NA,NA,NA,72351,94728,84278,115665,100423,95325,86387
piC176,14,24412817,24429825,-,14-qA3-284,779,569,1173,1380,NA,NA,NA,NA,NA,NA,NA,16761,20250,17712,83451,81763,14174,12205
piC177,14,27039033,27107286,+,pi-Il17rd,1059,606,1497,819,2843,2080,2259,1590,138,128,115,103,129,104,119,139,126,94
piC178,14,44758113,44789939,-,14-qC1-1261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piC179,14,44926823,44950817,+,14-qC1-1010,1760,995,2452,2566,918,976,1178,733,131048,111114,126676,20118,25214,21542,275409,261744,30657,27200
piC180,14,64811602,64949862,-,pi-Hmbox1,2152,1326,3055,1601,4729,3695,4158,2472,1076,1112,1046,1357,1575,1341,1137,1067,1296,1090
piC181,15,59247366,59275222,-,15-qD1-17920,43626,33643,64839,68070,46773,53429,77222,31433,874696,825009,838235,800178,1001509,884205,926351,853782,848541,793330
piC182,15,59275367,59312014,+,15-qD1-4001,11536,11393,17442,19496,18380,20719,30102,11435,161131,157705,153009,145199,182764,160724,162368,154415,156864,138771
piC183,15,73095849,73185186,-,pi-Eif2c2,2222,2113,4170,3017,3491,3660,5270,1826,21242,20138,20815,23300,29316,25035,28835,23825,27137,23603
piC184,15,74606029,74636770,-,pi-1700016M24Rik,1349,2671,3139,2466,835,941,1365,384,6112,6897,5889,10223,13186,11130,8754,8528,8993,6904
